point,algorithm,time,coverage,length,rotation
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,280,98.28,4705,3163
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,290,98.28,4705,3163
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,300,98.28,4705,3163
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,310,98.28,4705,3163
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,320,98.28,4705,3163
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,330,98.28,4705,3163
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,340,98.28,4705,3163
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,350,98.28,4705,3163
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,360,98.28,4705,3163
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,370,98.28,4705,3163
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,380,98.28,4705,3163
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,390,98.28,4705,3163
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,400,98.28,4705,3163
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,410,98.28,4705,3163
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,420,98.28,4705,3163
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,430,98.28,4705,3163
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,440,98.28,4705,3163
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,450,98.28,4705,3163
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,460,98.28,4705,3163
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,470,98.28,4705,3163
1 - [ 26.05999947 -11.         -10.37468719],BAstar,0,0,0,0
1 - [ 26.05999947 -11.         -10.37468719],BAstar,10,20.66,890,406
1 - [ 26.05999947 -11.         -10.37468719],BAstar,20,40.62,1409,711
1 - [ 26.05999947 -11.         -10.37468719],BAstar,30,43.3,1597,832
1 - [ 26.05999947 -11.         -10.37468719],BAstar,40,61.74,2117,1073
1 - [ 26.05999947 -11.         -10.37468719],BAstar,50,70.56,2502,1242
1 - [ 26.05999947 -11.         -10.37468719],BAstar,60,71.31,2593,1305
1 - [ 26.05999947 -11.         -10.37468719],BAstar,70,91.23,3033,1452
1 - [ 26.05999947 -11.         -10.37468719],BAstar,80,95.4,3251,1599
1 - [ 26.05999947 -11.         -10.37468719],BAstar,90,96.97,3355,1698
1 - [ 26.05999947 -11.         -10.37468719],BAstar,100,97.12,3382,1712
1 - [ 26.05999947 -11.         -10.37468719],BAstar,110,97.25,3401,1728
1 - [ 26.05999947 -11.         -10.37468719],BAstar,120,97.36,3452,1733
1 - [ 26.05999947 -11.         -10.37468719],BAstar,130,97.37,3459,1740
1 - [ 26.05999947 -11.         -10.37468719],BAstar,140,97.37,3459,1740
1 - [ 26.05999947 -11.         -10.37468719],BAstar,150,97.37,3459,1740
1 - [ 26.05999947 -11.         -10.37468719],BAstar,160,97.37,3459,1740
1 - [ 26.05999947 -11.         -10.37468719],BAstar,170,97.37,3459,1740
1 - [ 26.05999947 -11.         -10.37468719],BAstar,180,97.37,3459,1740
1 - [ 26.05999947 -11.         -10.37468719],BAstar,190,97.37,3459,1740
1 - [ 26.05999947 -11.         -10.37468719],BAstar,200,97.37,3459,1740
1 - [ 26.05999947 -11.         -10.37468719],BAstar,210,97.37,3459,1740
1 - [ 26.05999947 -11.         -10.37468719],BAstar,220,97.37,3459,1740
1 - [ 26.05999947 -11.         -10.37468719],BAstar,230,97.37,3459,1740
1 - [ 26.05999947 -11.         -10.37468719],BAstar,240,97.37,3459,1740
1 - [ 26.05999947 -11.         -10.37468719],BAstar,250,97.37,3459,1740
1 - [ 26.05999947 -11.         -10.37468719],BAstar,260,97.37,3459,1740
1 - [ 26.05999947 -11.         -10.37468719],BAstar,270,97.37,3459,1740
1 - [ 26.05999947 -11.         -10.37468719],BAstar,280,97.37,3459,1740
1 - [ 26.05999947 -11.         -10.37468719],BAstar,290,97.37,3459,1740
1 - [ 26.05999947 -11.         -10.37468719],BAstar,300,97.37,3459,1740
1 - [ 26.05999947 -11.         -10.37468719],BAstar,310,97.37,3459,1740
1 - [ 26.05999947 -11.         -10.37468719],BAstar,320,97.37,3459,1740
1 - [ 26.05999947 -11.         -10.37468719],BAstar,330,97.37,3459,1740
1 - [ 26.05999947 -11.         -10.37468719],BAstar,340,97.37,3459,1740
1 - [ 26.05999947 -11.         -10.37468719],BAstar,350,97.37,3459,1740
1 - [ 26.05999947 -11.         -10.37468719],BAstar,360,97.37,3459,1740
1 - [ 26.05999947 -11.         -10.37468719],BAstar,370,97.37,3459,1740
1 - [ 26.05999947 -11.         -10.37468719],BAstar,380,97.37,3459,1740
1 - [ 26.05999947 -11.         -10.37468719],BAstar,390,97.37,3459,1740
1 - [ 26.05999947 -11.         -10.37468719],BAstar,400,97.37,3459,1740
1 - [ 26.05999947 -11.         -10.37468719],BAstar,410,97.37,3459,1740
1 - [ 26.05999947 -11.         -10.37468719],BAstar,420,97.37,3459,1740
1 - [ 26.05999947 -11.         -10.37468719],BAstar,430,97.37,3459,1740
1 - [ 26.05999947 -11.         -10.37468719],BAstar,440,97.37,3459,1740
1 - [ 26.05999947 -11.         -10.37468719],BAstar,450,97.37,3459,1740
1 - [ 26.05999947 -11.         -10.37468719],BAstar,460,97.37,3459,1740
1 - [ 26.05999947 -11.         -10.37468719],BAstar,470,97.37,3459,1740
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,0,0,0,0
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,10,32.99,916,883
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,20,41.8,1408,1339
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,30,60.06,1906,1819
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,40,77.59,2263,2161
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,50,84.53,2523,2423
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,60,91.2,2792,2663
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,70,95.38,3022,2814
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,80,97.15,3190,2950
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,90,97.15,3190,2950
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,100,97.22,3255,2957
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,110,97.26,3261,2971
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,120,97.31,3362,2981
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,130,97.32,3375,2987
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,140,97.32,3375,2987
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,150,97.37,3504,3000
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,160,97.37,3504,3000
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,170,97.37,3504,3000
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,180,97.37,3504,3000
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,190,97.37,3504,3000
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,200,97.37,3504,3000
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,210,97.37,3504,3000
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,220,97.37,3504,3000
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,230,97.37,3504,3000
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,240,97.37,3504,3000
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,250,97.37,3504,3000
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,260,97.37,3504,3000
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,270,97.37,3504,3000
