point,algorithm,time,coverage,length,rotation
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,190,98.12,6134,7228
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,200,98.12,6227,7259
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,210,98.12,6379,7341
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,220,98.32,6493,7404
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,230,99.27,6682,7626
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,240,99.29,6860,7784
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,250,99.29,7000,7845
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,260,99.31,7135,7901
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,270,99.33,7259,7947
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,280,99.33,7389,8011
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,290,99.34,7534,8094
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,300,99.34,7642,8140
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,310,99.35,7737,8173
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,320,99.35,7841,8205
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,330,99.35,7930,8219
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,340,99.36,8033,8257
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,350,99.36,8107,8273
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,360,99.36,8178,8281
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,370,99.36,8218,8287
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,380,99.37,8326,8322
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,390,99.37,8392,8330
1 - [ 26.05999947 -11.         -10.37468719],BAstar,0,0,0,0
1 - [ 26.05999947 -11.         -10.37468719],BAstar,10,13.37,860,787
1 - [ 26.05999947 -11.         -10.37468719],BAstar,20,28.59,1317,1068
1 - [ 26.05999947 -11.         -10.37468719],BAstar,30,40.3,1763,1429
1 - [ 26.05999947 -11.         -10.37468719],BAstar,40,47.22,2118,1677
1 - [ 26.05999947 -11.         -10.37468719],BAstar,50,60.41,2542,1965
1 - [ 26.05999947 -11.         -10.37468719],BAstar,60,63.49,2894,2364
1 - [ 26.05999947 -11.         -10.37468719],BAstar,70,65.3,3152,2658
1 - [ 26.05999947 -11.         -10.37468719],BAstar,80,69.51,3445,2914
1 - [ 26.05999947 -11.         -10.37468719],BAstar,90,82.51,3764,3050
1 - [ 26.05999947 -11.         -10.37468719],BAstar,100,89.92,4010,3267
1 - [ 26.05999947 -11.         -10.37468719],BAstar,110,93.71,4265,3521
1 - [ 26.05999947 -11.         -10.37468719],BAstar,120,96.09,4485,3734
1 - [ 26.05999947 -11.         -10.37468719],BAstar,130,97.35,4688,3979
1 - [ 26.05999947 -11.         -10.37468719],BAstar,140,97.46,4754,4053
1 - [ 26.05999947 -11.         -10.37468719],BAstar,150,98.46,4850,4130
1 - [ 26.05999947 -11.         -10.37468719],BAstar,160,98.5,4919,4179
1 - [ 26.05999947 -11.         -10.37468719],BAstar,170,98.51,4980,4186
1 - [ 26.05999947 -11.         -10.37468719],BAstar,180,98.51,5019,4194
1 - [ 26.05999947 -11.         -10.37468719],BAstar,190,98.52,5035,4213
1 - [ 26.05999947 -11.         -10.37468719],BAstar,200,98.53,5062,4217
1 - [ 26.05999947 -11.         -10.37468719],BAstar,210,98.53,5062,4217
1 - [ 26.05999947 -11.         -10.37468719],BAstar,220,98.57,5074,4226
1 - [ 26.05999947 -11.         -10.37468719],BAstar,230,98.57,5074,4226
1 - [ 26.05999947 -11.         -10.37468719],BAstar,240,98.62,5104,4236
1 - [ 26.05999947 -11.         -10.37468719],BAstar,250,98.62,5104,4236
1 - [ 26.05999947 -11.         -10.37468719],BAstar,260,98.76,5110,4254
1 - [ 26.05999947 -11.         -10.37468719],BAstar,270,98.76,5110,4254
1 - [ 26.05999947 -11.         -10.37468719],BAstar,280,98.76,5110,4254
1 - [ 26.05999947 -11.         -10.37468719],BAstar,290,98.76,5110,4254
1 - [ 26.05999947 -11.         -10.37468719],BAstar,300,98.76,5110,4254
1 - [ 26.05999947 -11.         -10.37468719],BAstar,310,98.76,5110,4254
1 - [ 26.05999947 -11.         -10.37468719],BAstar,320,98.76,5110,4254
1 - [ 26.05999947 -11.         -10.37468719],BAstar,330,98.76,5110,4254
1 - [ 26.05999947 -11.         -10.37468719],BAstar,340,98.76,5110,4254
1 - [ 26.05999947 -11.         -10.37468719],BAstar,350,98.76,5110,4254
1 - [ 26.05999947 -11.         -10.37468719],BAstar,360,98.76,5110,4254
1 - [ 26.05999947 -11.         -10.37468719],BAstar,370,98.76,5110,4254
1 - [ 26.05999947 -11.         -10.37468719],BAstar,380,98.76,5110,4254
1 - [ 26.05999947 -11.         -10.37468719],BAstar,390,98.76,5110,4254
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,0,0,0,0
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,10,30.44,1213,1822
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,20,49.15,1735,2555
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,30,56.1,2079,3082
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,40,61.0,2373,3565
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,50,67.45,2736,4109
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,60,69.04,2992,4542
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,70,70.02,3137,4687
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,80,71.79,3265,4737
