point,algorithm,time,coverage,length,rotation
5 - [-20.28000069   4.5         -5.51468706],Inward Spiral,170,97.97,4246,3116
5 - [-20.28000069   4.5         -5.51468706],Inward Spiral,180,98.02,4354,3136
5 - [-20.28000069   4.5         -5.51468706],Inward Spiral,190,98.05,4452,3150
5 - [-20.28000069   4.5         -5.51468706],Inward Spiral,200,98.1,4542,3157
5 - [-20.28000069   4.5         -5.51468706],Inward Spiral,210,98.1,4542,3157
5 - [-20.28000069   4.5         -5.51468706],Inward Spiral,220,98.18,4646,3173
5 - [-20.28000069   4.5         -5.51468706],Inward Spiral,230,98.2,4729,3184
5 - [-20.28000069   4.5         -5.51468706],Inward Spiral,240,98.23,4798,3195
5 - [-20.28000069   4.5         -5.51468706],Inward Spiral,250,98.23,4798,3195
5 - [-20.28000069   4.5         -5.51468706],Inward Spiral,260,98.23,4798,3195
5 - [-20.28000069   4.5         -5.51468706],Inward Spiral,270,98.23,4798,3195
5 - [-20.28000069   4.5         -5.51468706],Inward Spiral,280,98.23,4798,3195
5 - [-20.28000069   4.5         -5.51468706],Inward Spiral,290,98.23,4798,3195
5 - [-20.28000069   4.5         -5.51468706],Inward Spiral,300,98.23,4798,3195
5 - [-20.28000069   4.5         -5.51468706],Inward Spiral,310,98.23,4798,3195
5 - [-20.28000069   4.5         -5.51468706],Inward Spiral,320,98.23,4798,3195
5 - [-20.28000069   4.5         -5.51468706],Inward Spiral,330,98.23,4798,3195
5 - [-20.28000069   4.5         -5.51468706],Inward Spiral,340,98.23,4798,3195
5 - [-20.28000069   4.5         -5.51468706],Inward Spiral,350,98.23,4798,3195
5 - [-20.28000069   4.5         -5.51468706],Inward Spiral,360,98.23,4798,3195
5 - [-20.28000069   4.5         -5.51468706],Inward Spiral,370,98.23,4798,3195
5 - [-20.28000069   4.5         -5.51468706],Inward Spiral,380,98.23,4798,3195
5 - [-20.28000069   4.5         -5.51468706],Inward Spiral,390,98.23,4798,3195
5 - [-20.28000069   4.5         -5.51468706],Inward Spiral,400,98.23,4798,3195
5 - [-20.28000069   4.5         -5.51468706],Inward Spiral,410,98.23,4798,3195
5 - [-20.28000069   4.5         -5.51468706],Inward Spiral,420,98.23,4798,3195
5 - [-20.28000069   4.5         -5.51468706],Inward Spiral,430,98.23,4798,3195
5 - [-20.28000069   4.5         -5.51468706],Inward Spiral,440,98.23,4798,3195
