point,algorithm,time,coverage,length,rotation
1 - [ 26.05999947 -11.         -10.37468719],BAstar,40,68.53,2641,1350
1 - [ 26.05999947 -11.         -10.37468719],BAstar,50,73.12,2892,1528
1 - [ 26.05999947 -11.         -10.37468719],BAstar,60,76.23,3172,1702
1 - [ 26.05999947 -11.         -10.37468719],BAstar,70,82.67,3401,1871
1 - [ 26.05999947 -11.         -10.37468719],BAstar,80,84.9,3597,2069
1 - [ 26.05999947 -11.         -10.37468719],BAstar,90,87.91,3807,2268
1 - [ 26.05999947 -11.         -10.37468719],BAstar,100,88.71,3985,2441
1 - [ 26.05999947 -11.         -10.37468719],BAstar,110,89.73,4092,2453
1 - [ 26.05999947 -11.         -10.37468719],BAstar,120,92.85,4297,2572
1 - [ 26.05999947 -11.         -10.37468719],BAstar,130,97.14,4532,2725
1 - [ 26.05999947 -11.         -10.37468719],BAstar,140,97.96,4704,2871
1 - [ 26.05999947 -11.         -10.37468719],BAstar,150,97.99,4807,2879
1 - [ 26.05999947 -11.         -10.37468719],BAstar,160,98.07,4909,2952
1 - [ 26.05999947 -11.         -10.37468719],BAstar,170,98.2,5033,3039
1 - [ 26.05999947 -11.         -10.37468719],BAstar,180,98.59,5130,3121
1 - [ 26.05999947 -11.         -10.37468719],BAstar,190,98.61,5194,3148
1 - [ 26.05999947 -11.         -10.37468719],BAstar,200,98.61,5194,3148
1 - [ 26.05999947 -11.         -10.37468719],BAstar,210,98.62,5309,3160
1 - [ 26.05999947 -11.         -10.37468719],BAstar,220,98.64,5312,3165
1 - [ 26.05999947 -11.         -10.37468719],BAstar,230,98.64,5312,3165
1 - [ 26.05999947 -11.         -10.37468719],BAstar,240,98.64,5312,3165
1 - [ 26.05999947 -11.         -10.37468719],BAstar,250,98.64,5312,3165
1 - [ 26.05999947 -11.         -10.37468719],BAstar,260,98.64,5312,3165
1 - [ 26.05999947 -11.         -10.37468719],BAstar,270,98.64,5312,3165
1 - [ 26.05999947 -11.         -10.37468719],BAstar,280,98.64,5312,3165
1 - [ 26.05999947 -11.         -10.37468719],BAstar,290,98.64,5312,3165
1 - [ 26.05999947 -11.         -10.37468719],BAstar,300,98.64,5312,3165
1 - [ 26.05999947 -11.         -10.37468719],BAstar,310,98.64,5312,3165
1 - [ 26.05999947 -11.         -10.37468719],BAstar,320,98.64,5312,3165
1 - [ 26.05999947 -11.         -10.37468719],BAstar,330,98.64,5312,3165
1 - [ 26.05999947 -11.         -10.37468719],BAstar,340,98.64,5312,3165
1 - [ 26.05999947 -11.         -10.37468719],BAstar,350,98.64,5312,3165
1 - [ 26.05999947 -11.         -10.37468719],BAstar,360,98.64,5312,3165
1 - [ 26.05999947 -11.         -10.37468719],BAstar,370,98.64,5312,3165
1 - [ 26.05999947 -11.         -10.37468719],BAstar,380,98.64,5312,3165
1 - [ 26.05999947 -11.         -10.37468719],BAstar,390,98.64,5312,3165
1 - [ 26.05999947 -11.         -10.37468719],BAstar,400,98.64,5312,3165
1 - [ 26.05999947 -11.         -10.37468719],BAstar,410,98.64,5312,3165
1 - [ 26.05999947 -11.         -10.37468719],BAstar,420,98.64,5312,3165
1 - [ 26.05999947 -11.         -10.37468719],BAstar,430,98.64,5312,3165
1 - [ 26.05999947 -11.         -10.37468719],BAstar,440,98.64,5312,3165
1 - [ 26.05999947 -11.         -10.37468719],BAstar,450,98.64,5312,3165
1 - [ 26.05999947 -11.         -10.37468719],BAstar,460,98.64,5312,3165
1 - [ 26.05999947 -11.         -10.37468719],BAstar,470,98.64,5312,3165
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,0,0,0,0
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,10,29.97,1048,1481
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,20,39.12,1606,2266
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,30,42.58,1972,2726
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,40,55.25,2514,3385
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,50,62.64,2905,3886
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,60,73.5,3292,4452
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,70,85.64,3612,4910
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,80,92.43,3874,5286
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,90,96.93,4136,5649
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,100,97.93,4310,5865
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,110,98.22,4474,6045
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,120,98.22,4501,6058
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,130,98.28,4620,6069
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,140,98.28,4620,6069
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,150,98.29,4729,6091
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,160,98.3,4850,6230
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,170,98.3,4852,6233
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,180,98.3,4852,6233
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,190,98.3,4852,6233
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,200,98.3,4852,6233
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,210,98.3,4852,6233
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,220,98.3,4852,6233
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,230,98.3,4852,6233
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,240,98.3,4852,6233
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,250,98.3,4852,6233
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,260,98.3,4852,6233
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,270,98.3,4852,6233
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,280,98.3,4852,6233
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,290,98.3,4852,6233
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,300,98.3,4852,6233
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,310,98.3,4852,6233
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,320,98.3,4852,6233
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,330,98.3,4852,6233
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,340,98.3,4852,6233
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,350,98.3,4852,6233
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,360,98.3,4852,6233
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,370,98.3,4852,6233
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,380,98.3,4852,6233
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,390,98.3,4852,6233
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,400,98.3,4852,6233
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,410,98.3,4852,6233
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,420,98.3,4852,6233
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,430,98.3,4852,6233
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,440,98.3,4852,6233
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,450,98.3,4852,6233
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,460,98.3,4852,6233
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,470,98.3,4852,6233
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,0,0,0,0
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,10,29.34,1102,1230
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,20,47.71,1663,1868
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,30,59.38,1983,2255
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,40,67.18,2350,2703
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,50,68.4,2677,3055
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,60,69.8,2935,3292
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,70,75.29,3223,3650
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,80,76.41,3454,3917
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,90,85.69,3692,4171
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,100,88.32,3908,4402
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,110,94.14,4120,4655
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,120,95.67,4341,4919
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,130,96.11,4557,5151
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,140,96.12,4730,5243
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,150,96.16,4909,5379
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,160,97.31,5115,5628
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,170,97.34,5261,5727
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,180,97.34,5379,5780
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,190,97.35,5524,5854
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,200,97.36,5661,5918
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,210,97.36,5741,5938
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,220,97.37,5842,5965
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,230,97.44,5972,6063
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,240,97.47,6150,6185
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,250,97.48,6288,6246
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,260,97.48,6425,6314
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,270,98.99,6612,6482
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,280,99.07,6827,6705
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,290,99.08,6956,6772
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,300,99.1,7113,6843
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,310,99.11,7218,6883
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,320,99.11,7349,6923
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,330,99.11,7465,6953
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,340,99.11,7582,6990
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,350,99.11,7703,7035
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,360,99.11,7794,7048
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,370,99.11,7824,7056
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,380,99.11,7824,7056
