algorithm,max_distance,time,coverage,length,rotation
Random BAstar,6,125,0.876126763959335,1166,684
Random BAstar,6,130,0.876126763959335,1223,740
Random BAstar,6,135,0.876126763959335,1280,797
Random BAstar,6,140,0.876126763959335,1337,853
Random BAstar,6,145,0.876126763959335,1394,909
Random BAstar,6,150,0.876126763959335,1451,966
Random BAstar,6,155,0.876126763959335,1508,1022
Random BAstar,6,160,0.876126763959335,1565,1078
Random BAstar,6,165,0.876126763959335,1622,1135
Random BAstar,6,170,0.876126763959335,1680,1191
Random BAstar,6,175,0.876126763959335,1737,1247
Random BAstar,6,180,0.876126763959335,1794,1304
Random BAstar,6,185,0.876126763959335,1851,1360
Random BAstar,6,190,0.876126763959335,1908,1416
Random BAstar,6,195,0.876126763959335,1965,1473
Random BAstar,7,0,0.0619879092889802,148,47
Random BAstar,7,5,0.132548913019653,191,57
Random BAstar,7,10,0.209083376806702,211,98
Random BAstar,7,15,0.337075696268012,235,107
Random BAstar,7,20,0.482352734876748,340,133
Random BAstar,7,25,0.528402649610493,409,162
Random BAstar,7,30,0.592819222389296,438,179
Random BAstar,7,35,0.605876138162019,455,182
Random BAstar,7,40,0.674791437426844,488,212
Random BAstar,7,45,0.70141292101583,499,216
Random BAstar,7,50,0.732785641951874,544,229
Random BAstar,7,55,0.773111100394987,645,251
Random BAstar,7,60,0.793903791608398,668,260
Random BAstar,7,65,0.804395267174903,684,272
Random BAstar,7,70,0.81575211850475,707,301
Random BAstar,7,75,0.832260892818784,745,321
Random BAstar,7,80,0.840449960325985,752,329
Random BAstar,7,85,0.843985989154308,763,344
Random BAstar,7,90,0.851175534503242,783,372
Random BAstar,7,95,0.851175534503242,802,401
Random BAstar,7,100,0.853676093446554,815,401
Random BAstar,7,105,0.865670359345751,859,451
Random BAstar,7,110,0.871153702835048,875,489
Random BAstar,7,115,0.871153702835048,891,527
Random BAstar,7,120,0.871153702835048,906,564
Random BAstar,7,125,0.871153702835048,922,602
Random BAstar,7,130,0.871153702835048,938,640
Random BAstar,7,135,0.871153702835048,954,678
Random BAstar,7,140,0.871153702835048,969,715
Random BAstar,7,145,0.871153702835048,985,753
Random BAstar,7,150,0.871153702835048,1001,791
Random BAstar,7,155,0.871153702835048,1017,829
Random BAstar,7,160,0.871153702835048,1032,867
Random BAstar,7,165,0.871153702835048,1048,904
Random BAstar,7,170,0.871153702835048,1064,942
Random BAstar,7,175,0.871153702835048,1080,980
Random BAstar,7,180,0.871153702835048,1095,1018
Random BAstar,7,185,0.871153702835048,1111,1055
Random BAstar,7,190,0.871153702835048,1127,1093
Random BAstar,7,195,0.871153702835048,1143,1131
