point,algorithm,time,coverage,length,rotation
0 - [-12.59000015  11.          -5.29468489],BAstar Variant0.7,190,21.19,549,656
0 - [-12.59000015  11.          -5.29468489],BAstar Variant0.7,200,21.19,549,656
0 - [-12.59000015  11.          -5.29468489],BAstar Variant0.7,210,21.19,549,656
0 - [-12.59000015  11.          -5.29468489],BAstar Variant0.7,220,21.19,549,656
0 - [-12.59000015  11.          -5.29468489],BAstar Variant0.7,230,21.19,549,656
0 - [-12.59000015  11.          -5.29468489],BAstar Variant0.7,240,21.19,549,656
0 - [-12.59000015  11.          -5.29468489],BAstar Variant0.7,250,21.19,549,656
0 - [-12.59000015  11.          -5.29468489],BAstar Variant0.7,260,21.19,549,656
0 - [-12.59000015  11.          -5.29468489],BAstar Variant0.7,270,21.19,549,656
0 - [-12.59000015  11.          -5.29468489],BAstar Variant0.7,280,21.19,549,656
0 - [-12.59000015  11.          -5.29468489],BAstar Variant0.7,290,21.19,549,656
0 - [-12.59000015  11.          -5.29468489],BAstar Variant0.7,300,21.19,549,656
0 - [-12.59000015  11.          -5.29468489],BAstar Variant0.7,310,21.19,549,656
0 - [-12.59000015  11.          -5.29468489],BAstar Variant0.7,320,21.19,549,656
0 - [-12.59000015  11.          -5.29468489],BAstar Variant0.7,330,21.19,549,656
0 - [-12.59000015  11.          -5.29468489],BAstar Variant0.7,340,21.19,549,656
0 - [-12.59000015  11.          -5.29468489],BAstar Variant0.7,350,21.19,549,656
0 - [-12.59000015  11.          -5.29468489],BAstar Variant0.7,360,21.19,549,656
0 - [-12.59000015  11.          -5.29468489],BAstar Variant0.7,370,21.19,549,656
0 - [-12.59000015  11.          -5.29468489],BAstar Variant0.7,380,21.19,549,656
0 - [-12.59000015  11.          -5.29468489],BAstar Variant0.7,390,21.19,549,656
0 - [-12.59000015  11.          -5.29468489],BAstar0.75,0,0,0,0
0 - [-12.59000015  11.          -5.29468489],BAstar0.75,10,21.59,633,317
0 - [-12.59000015  11.          -5.29468489],BAstar0.75,20,21.59,633,317
0 - [-12.59000015  11.          -5.29468489],BAstar0.75,30,21.59,633,317
0 - [-12.59000015  11.          -5.29468489],BAstar0.75,40,21.59,633,317
